issue_id,issue_number,title,state,created,closed,labels
1679437016,50135,Incomplete argument in test,closed,2023-04-22T09:20:02Z,2023-04-23T13:20:55Z,"[{'id': 160629922, 'node_id': 'MDU6TGFiZWwxNjA2Mjk5MjI=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20bug', 'name': 'type: bug', 'color': '500d87', 'default': False, 'description': 'Issues that need priority attention. Platform, Curriculum tests (if broken completely), etc.'}, {'id': 252661769, 'node_id': 'MDU6TGFiZWwyNTI2NjE3Njk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/scope:%20curriculum', 'name': 'scope: curriculum', 'color': '4969c1', 'default': False, 'description': 'Lessons, Challenges, Projects and other Curricular Content in curriculum directory.'}, {'id': 1146958352, 'node_id': 'MDU6TGFiZWwxMTQ2OTU4MzUy', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/status:%20PR%20in%20works', 'name': 'status: PR in works', 'color': 'f475b7', 'default': False, 'description': 'Work in Progress (WIP) Issues.'}]"
1679349197,50131,Improvement in Use @if and @else to Add Logic To Your Styles module,closed,2023-04-22T05:36:40Z,2023-04-25T17:07:02Z,"[{'id': 160629922, 'node_id': 'MDU6TGFiZWwxNjA2Mjk5MjI=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20bug', 'name': 'type: bug', 'color': '500d87', 'default': False, 'description': 'Issues that need priority attention. Platform, Curriculum tests (if broken completely), etc.'}, {'id': 252661769, 'node_id': 'MDU6TGFiZWwyNTI2NjE3Njk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/scope:%20curriculum', 'name': 'scope: curriculum', 'color': '4969c1', 'default': False, 'description': 'Lessons, Challenges, Projects and other Curricular Content in curriculum directory.'}, {'id': 807966675, 'node_id': 'MDU6TGFiZWw4MDc5NjY2NzU=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/status:%20waiting%20triage', 'name': 'status: waiting triage', 'color': 'd93f0b', 'default': False, 'description': 'This issue needs help from moderators and users to reproduce and confirm its validity and fix.'}]"
1679280345,50127,Typo in Target the Parent of an Element Using jQuery module,closed,2023-04-22T02:26:18Z,2023-04-24T07:27:10Z,"[{'id': 160629922, 'node_id': 'MDU6TGFiZWwxNjA2Mjk5MjI=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20bug', 'name': 'type: bug', 'color': '500d87', 'default': False, 'description': 'Issues that need priority attention. Platform, Curriculum tests (if broken completely), etc.'}, {'id': 252661769, 'node_id': 'MDU6TGFiZWwyNTI2NjE3Njk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/scope:%20curriculum', 'name': 'scope: curriculum', 'color': '4969c1', 'default': False, 'description': 'Lessons, Challenges, Projects and other Curricular Content in curriculum directory.'}]"
1677768743,50118,lower-jaw component can be refactored to separate files,open,2023-04-21T04:15:59Z,2023-04-27 13:42:13.342889,"[{'id': 160629922, 'node_id': 'MDU6TGFiZWwxNjA2Mjk5MjI=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20bug', 'name': 'type: bug', 'color': '500d87', 'default': False, 'description': 'Issues that need priority attention. Platform, Curriculum tests (if broken completely), etc.'}, {'id': 199835579, 'node_id': 'MDU6TGFiZWwxOTk4MzU1Nzk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/status:%20discussing', 'name': 'status: discussing', 'color': '083093', 'default': False, 'description': 'Under discussion threads. Closed as stale after 60 days of inactivity.'}]"
1676652170,50113,Preview Saga is called twice when loading the editor,open,2023-04-20T12:45:35Z,2023-04-27 13:42:13.342889,"[{'id': 199835579, 'node_id': 'MDU6TGFiZWwxOTk4MzU1Nzk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/status:%20discussing', 'name': 'status: discussing', 'color': '083093', 'default': False, 'description': 'Under discussion threads. Closed as stale after 60 days of inactivity.'}, {'id': 802122369, 'node_id': 'MDU6TGFiZWw4MDIxMjIzNjk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/platform:%20client', 'name': 'platform: client', 'color': '59d683', 'default': False, 'description': 'UI side of the client application that needs familiarity with React, Gatsby etc.'}]"
1686566406,50194,Add fieldset and legend to radio inputs in the shows components,open,2023-04-27T10:27:32Z,2023-04-27 13:42:13.342889,"[{'id': 199835579, 'node_id': 'MDU6TGFiZWwxOTk4MzU1Nzk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/status:%20discussing', 'name': 'status: discussing', 'color': '083093', 'default': False, 'description': 'Under discussion threads. Closed as stale after 60 days of inactivity.'}, {'id': 802122369, 'node_id': 'MDU6TGFiZWw4MDIxMjIzNjk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/platform:%20client', 'name': 'platform: client', 'color': '59d683', 'default': False, 'description': 'UI side of the client application that needs familiarity with React, Gatsby etc.'}, {'id': 978471857, 'node_id': 'MDU6TGFiZWw5Nzg0NzE4NTc=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': '500d87', 'default': False, 'description': 'Threads classified to be feature requests. Implementation to be considered as a nice to have'}]"
1683772971,50185,Documentation: Languages.ChineseTrandational should be Languages.ChineseTraditional,closed,2023-04-25T19:56:05Z,2023-04-26T03:54:15Z,"[{'id': 160629922, 'node_id': 'MDU6TGFiZWwxNjA2Mjk5MjI=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/type:%20bug', 'name': 'type: bug', 'color': '500d87', 'default': False, 'description': 'Issues that need priority attention. Platform, Curriculum tests (if broken completely), etc.'}, {'id': 807966675, 'node_id': 'MDU6TGFiZWw4MDc5NjY2NzU=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/status:%20waiting%20triage', 'name': 'status: waiting triage', 'color': 'd93f0b', 'default': False, 'description': 'This issue needs help from moderators and users to reproduce and confirm its validity and fix.'}]"
1683445406,50184,Standardize error + flash responses,open,2023-04-25T15:56:21Z,2023-04-27 13:42:13.342889,"[{'id': 199835579, 'node_id': 'MDU6TGFiZWwxOTk4MzU1Nzk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/status:%20discussing', 'name': 'status: discussing', 'color': '083093', 'default': False, 'description': 'Under discussion threads. Closed as stale after 60 days of inactivity.'}]"
1683307992,50182,Record Collection still could be clearer,open,2023-04-25T14:40:00Z,2023-04-27 13:42:13.342889,"[{'id': 199835579, 'node_id': 'MDU6TGFiZWwxOTk4MzU1Nzk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/status:%20discussing', 'name': 'status: discussing', 'color': '083093', 'default': False, 'description': 'Under discussion threads. Closed as stale after 60 days of inactivity.'}, {'id': 252661769, 'node_id': 'MDU6TGFiZWwyNTI2NjE3Njk=', 'url': 'https://api.github.com/repos/freeCodeCamp/freeCodeCamp/labels/scope:%20curriculum', 'name': 'scope: curriculum', 'color': '4969c1', 'default': False, 'description': 'Lessons, Challenges, Projects and other Curricular Content in curriculum directory.'}]"
1682113540,50174,Encountered an error when trying to import the exported conversation file,closed,2023-04-24T22:08:59Z,2023-04-25T02:25:45Z,[]
